,parameter,error,model,model1,model2
52,"{'model1_params': {'changepoint_prior_scale': 0.653022959202286, 'changepoint_range': 0.8437555129302489, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 14, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.20826258150311713}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.7970902284225992, 'colsample_bytree': 0.7583892628621653, 'learning_rate': 0.03283941270019298, 'max_depth': 3, 'min_child_weight': 7.0, 'min_gain_to_split': 6.3000134407938955, 'num_leaves': 210, 'reg_alpha': 37.0, 'reg_lambda': 0.2028347568621673, 'subsample': 0.5972192952494743}}",300.27529781660763,Hybrid,Prophet,LGB
53,"{'model1_params': {'changepoint_prior_scale': 1.7423796782604768, 'changepoint_range': 0.8526745096819254, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 24, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.14276096525513998}, 'model2_params': {'alpha': 0.8919058617879336}}",286.0841117711279,Hybrid,Prophet,Linear
54,"{'model1_params': {'changepoint_prior_scale': 0.7888813890243734, 'changepoint_range': 0.8392643349383447, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.20753122496490606}, 'model2_params': {'alpha': 0.24576825643852512}}",279.3123585102114,Hybrid,Prophet,Linear
55,"{'model1_params': {'changepoint_prior_scale': 1.1778300224055125, 'changepoint_range': 0.8498741128643958, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 20, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.17533344131439998}, 'model2_params': {'boosting': 'gbdt', 'colsample_bynode': 0.7740482333855215, 'colsample_bytree': 0.7830318578632596, 'learning_rate': 0.03202096923404548, 'max_depth': 3, 'min_child_weight': 8.0, 'min_gain_to_split': 4.559720997172143, 'num_leaves': 180, 'reg_alpha': 32.0, 'reg_lambda': 0.47255693308590896, 'subsample': 0.7565757095838699}}",326.023378960159,Hybrid,Prophet,LGB
56,"{'model1_params': {'changepoint_prior_scale': 1.1713959895038522, 'changepoint_range': 0.8191819906077337, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 19, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.17174935064233068}, 'model2_params': {'alpha': 0.1539897770401371}}",285.37915473760813,Hybrid,Prophet,Linear
57,"{'model1_params': {'changepoint_prior_scale': 0.9799735908528577, 'changepoint_range': 0.8854313714655991, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 18, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.266922897673735}, 'model2_params': {'alpha': 0.19068161172439524}}",283.1334258357621,Hybrid,Prophet,Linear
58,"{'model1_params': {'changepoint_prior_scale': 1.1400370573636958, 'changepoint_range': 0.8790553501520617, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 20, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2557276338607172}, 'model2_params': {'alpha': 0.37757876069791196}}",282.25634713461676,Hybrid,Prophet,Linear
59,"{'model1_params': {'changepoint_prior_scale': 0.5853742098993837, 'changepoint_range': 0.859334000663248, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 15, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2814473653976437}, 'model2_params': {'alpha': 0.5571948939592755}}",278.2932431357322,Hybrid,Prophet,Linear
60,"{'model1_params': {'changepoint_prior_scale': 0.5593585982245849, 'changepoint_range': 0.866211830578798, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 12, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1849430079759753}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.7680329712110565, 'colsample_bytree': 0.7475370348697576, 'learning_rate': 0.12064225051022716, 'max_depth': 2, 'min_child_weight': 3.0, 'min_gain_to_split': 4.454151431411349, 'num_leaves': 180, 'reg_alpha': 44.0, 'reg_lambda': 0.6446261196037316, 'subsample': 0.6513300048084865}}",321.4474922077912,Hybrid,Prophet,LGB
61,"{'model1_params': {'changepoint_prior_scale': 1.2663481783865997, 'changepoint_range': 0.8365622309290675, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 13, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2409251011699717}, 'model2_params': {'alpha': 0.27997895342436324}}",277.93798861531485,Hybrid,Prophet,Linear
