,parameter,rmse,model
39,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.03855075205901817, 'num_leaves': 60, 'min_gain_to_split': 2.254113111953678, 'subsample': 0.7083252836630713, 'colsample_bytree': 0.8296462041698625, 'colsample_bynode': 0.6010881023583773, 'reg_lambda': 0.27924042790701237, 'reg_alpha': 7.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",303.8343855916633,LGB
40,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 7.0, 'learning_rate': 0.03871927721201493, 'num_leaves': 80, 'min_gain_to_split': 3.2145840957400504, 'subsample': 0.7465205769013281, 'colsample_bytree': 0.8113744982758421, 'colsample_bynode': 0.6152853182692533, 'reg_lambda': 0.3602601243968456, 'reg_alpha': 10.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",308.98407435557965,LGB
41,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 8.0, 'learning_rate': 0.04513044552410008, 'num_leaves': 40, 'min_gain_to_split': 1.2954639373170462, 'subsample': 0.7230000644832336, 'colsample_bytree': 0.8544354998915145, 'colsample_bynode': 0.6071051168463234, 'reg_lambda': 0.14887420395185194, 'reg_alpha': 5.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",308.79370000319494,LGB
42,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.04277823223734388, 'num_leaves': 50, 'min_gain_to_split': 1.7063145345978081, 'subsample': 0.6924113668256201, 'colsample_bytree': 0.8279436886313138, 'colsample_bynode': 0.5663155051216493, 'reg_lambda': 0.32520269777123745, 'reg_alpha': 12.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",306.50799885631244,LGB
43,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 7.0, 'learning_rate': 0.04460973399283435, 'num_leaves': 50, 'min_gain_to_split': 1.5784148666389006, 'subsample': 0.6947296147932923, 'colsample_bytree': 0.8489662972332839, 'colsample_bynode': 0.5592529315918459, 'reg_lambda': 0.3405451268140688, 'reg_alpha': 21.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",314.54904090656197,LGB
44,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 6.0, 'learning_rate': 0.036005643345502436, 'num_leaves': 80, 'min_gain_to_split': 1.633833850921561, 'subsample': 0.7560113605000918, 'colsample_bytree': 0.83404081922503, 'colsample_bynode': 0.5968518558228939, 'reg_lambda': 0.3092891743824614, 'reg_alpha': 22.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",311.11109138374417,LGB
45,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 8.0, 'learning_rate': 0.04878908597793313, 'num_leaves': 70, 'min_gain_to_split': 1.5119191927094233, 'subsample': 0.6611592433869732, 'colsample_bytree': 0.8205120253982537, 'colsample_bynode': 0.588720857539658, 'reg_lambda': 0.3819964169379556, 'reg_alpha': 15.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",307.0813293099726,LGB
46,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.05623824769655213, 'num_leaves': 40, 'min_gain_to_split': 2.4809033488329617, 'subsample': 0.7129189777083654, 'colsample_bytree': 0.8398830524190971, 'colsample_bynode': 0.6111538295279944, 'reg_lambda': 0.3240244728202591, 'reg_alpha': 5.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",314.5803851701713,LGB
47,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 7.0, 'learning_rate': 0.04997314430846219, 'num_leaves': 40, 'min_gain_to_split': 2.581976008357572, 'subsample': 0.6723371395271618, 'colsample_bytree': 0.8035122343530733, 'colsample_bynode': 0.5863467732829536, 'reg_lambda': 0.3919873140768525, 'reg_alpha': 4.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",333.83820477517236,LGB
48,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 7.0, 'learning_rate': 0.057973215457268155, 'num_leaves': 30, 'min_gain_to_split': 1.389509800823101, 'subsample': 0.6876189241381057, 'colsample_bytree': 0.8121680662347627, 'colsample_bynode': 0.5411889139762271, 'reg_lambda': 0.34400124711146596, 'reg_alpha': 16.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",318.8265009399996,LGB
49,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 8.0, 'learning_rate': 0.05405659756775336, 'num_leaves': 30, 'min_gain_to_split': 1.6765526346611712, 'subsample': 0.6635714092032502, 'colsample_bytree': 0.8166902979810318, 'colsample_bynode': 0.5690651363885039, 'reg_lambda': 0.2879385166204081, 'reg_alpha': 8.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",311.1827254126259,LGB
50,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 6.0, 'learning_rate': 0.034858817037830656, 'num_leaves': 60, 'min_gain_to_split': 1.11216817613378, 'subsample': 0.7068749292509742, 'colsample_bytree': 0.8246180550530703, 'colsample_bynode': 0.5702693487859002, 'reg_lambda': 0.21287166017917306, 'reg_alpha': 8.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",306.0862361363171,LGB
51,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 6.0, 'learning_rate': 0.0327311085541352, 'num_leaves': 50, 'min_gain_to_split': 1.563127678292247, 'subsample': 0.7253001022780906, 'colsample_bytree': 0.8377097763027617, 'colsample_bynode': 0.5386491437836914, 'reg_lambda': 0.13782170840994318, 'reg_alpha': 2.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",308.72813646126116,LGB
