,parameter,rmse,model
46,"{'changepoint_prior_scale': 3.66893131823648, 'changepoint_range': 0.5394799648554415, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.43260363666937013}",356.4474482832697,Prophet
47,"{'changepoint_prior_scale': 6.692923447919257, 'changepoint_range': 0.5480950904940132, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.28254053028030984}",468.9220379193382,Prophet
48,"{'changepoint_prior_scale': 2.3462054592748633, 'changepoint_range': 0.5473046890032296, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.367869803639395}",360.7540882997777,Prophet
49,"{'changepoint_prior_scale': 5.264604029473687, 'changepoint_range': 0.572528798140543, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.242849815852953}",387.42073709355077,Prophet
50,"{'changepoint_prior_scale': 2.3035124644115754, 'changepoint_range': 0.5274177202052449, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3710246783520255}",352.38000385438664,Prophet
51,"{'changepoint_prior_scale': 4.954011877208657, 'changepoint_range': 0.5470449236515526, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 41, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5946740174835297}",360.6261974642321,Prophet
52,"{'changepoint_prior_scale': 2.3516540858247357, 'changepoint_range': 0.501176425664499, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 41, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6357079579172199}",352.9858029844243,Prophet
53,"{'changepoint_prior_scale': 7.688053581364571, 'changepoint_range': 0.5567405266932716, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 40, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.7449600397081403}",482.9472708064447,Prophet
54,"{'changepoint_prior_scale': 1.509243793313324, 'changepoint_range': 0.5186634227778821, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3750386789463375}",350.77257521079866,Prophet
55,"{'changepoint_prior_scale': 1.3907848079751446, 'changepoint_range': 0.5344961783236664, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6011412448871473}",352.59716992995266,Prophet
56,"{'changepoint_prior_scale': 1.9334901156119537, 'changepoint_range': 0.5257094408192408, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2207046621024464}",356.3896193853795,Prophet
57,"{'changepoint_prior_scale': 2.508937603987768, 'changepoint_range': 0.5491591459870168, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 46, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2991014649505152}",369.46134477550214,Prophet
58,"{'changepoint_prior_scale': 1.724178072601156, 'changepoint_range': 0.5426646229717426, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 42, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6517276641774217}",457.72220654084725,Prophet
59,"{'changepoint_prior_scale': 1.8334642236352532, 'changepoint_range': 0.5302172798765057, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3907168880577205}",352.53445522495133,Prophet
60,"{'changepoint_prior_scale': 1.8404991660182461, 'changepoint_range': 0.5365633091986841, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5814570530898246}",352.9121578151537,Prophet
61,"{'changepoint_prior_scale': 1.4243652517651668, 'changepoint_range': 0.5483729497240648, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5483837200342663}",356.7074203004198,Prophet
62,"{'changepoint_prior_scale': 1.11407355627506, 'changepoint_range': 0.5272298699153088, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.7790531777948302}",350.7297869829272,Prophet
63,"{'changepoint_prior_scale': 1.7583354276143088, 'changepoint_range': 0.5330825583591973, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 49, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.7905586073867195}",354.5610910566815,Prophet
64,"{'changepoint_prior_scale': 1.3166459078898651, 'changepoint_range': 0.54230963721143, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 1.1147543800999051}",353.6715366780919,Prophet
65,"{'changepoint_prior_scale': 1.1997981207954467, 'changepoint_range': 0.5008100651411861, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.3127494022820423}",438.8765649899251,Prophet
66,"{'changepoint_prior_scale': 0.8577096495236768, 'changepoint_range': 0.5203415781362736, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 46, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6893176915068705}",432.87025561408893,Prophet
67,"{'changepoint_prior_scale': 0.8067950537716899, 'changepoint_range': 0.5277973705500005, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6475143547954673}",352.3874917500724,Prophet
