ts,value
2021-12-26 16:30:00,276224.0
2021-12-26 17:00:00,281344.0
2021-12-26 17:30:00,276224.0
2021-12-26 18:00:00,275968.0
2021-12-26 18:30:00,277504.0
2021-12-26 19:00:00,274944.0
2021-12-26 19:30:00,275200.0
2021-12-26 20:00:00,273920.0
2021-12-26 20:30:00,274176.0
2021-12-26 21:00:00,274176.0
2021-12-26 21:30:00,275968.0
2021-12-26 22:00:00,276224.0
2021-12-26 22:30:00,292864.0
2021-12-26 23:00:00,294400.0
2021-12-26 23:30:00,367296.0
2021-12-27 00:00:00,394368.0
2021-12-27 00:30:00,405632.0
2021-12-27 01:00:00,417408.0
2021-12-27 01:30:00,409728.0
2021-12-27 02:00:00,409600.0
2021-12-27 02:30:00,411456.0
2021-12-27 03:00:00,415360.0
2021-12-27 03:30:00,411008.0
2021-12-27 04:00:00,412160.0
2021-12-27 04:30:00,417344.0
2021-12-27 05:00:00,411840.0
2021-12-27 05:30:00,409344.0
2021-12-27 06:00:00,411968.0
2021-12-27 06:30:00,411840.0
2021-12-27 07:00:00,405504.0
2021-12-27 07:30:00,402304.0
2021-12-27 08:00:00,402368.0
2021-12-27 08:30:00,399360.0
2021-12-27 09:00:00,396032.0
2021-12-27 09:30:00,394944.0
2021-12-27 10:00:00,389184.0
2021-12-27 10:30:00,394048.0
2021-12-27 11:00:00,399296.0
2021-12-27 11:30:00,375360.0
2021-12-27 12:00:00,359168.0
2021-12-27 12:30:00,357632.0
2021-12-27 13:00:00,354048.0
2021-12-27 13:30:00,324608.0
2021-12-27 14:00:00,302592.0
2021-12-27 14:30:00,287744.0
2021-12-27 15:00:00,281600.0
2021-12-27 15:30:00,277504.0
2021-12-27 16:00:00,278272.0
2021-12-27 16:30:00,269056.0
2021-12-27 17:00:00,273152.0
2021-12-27 17:30:00,335616.0
2021-12-27 18:00:00,206848.0
2021-12-27 18:30:00,271104.0
2021-12-27 19:00:00,266240.0
2021-12-27 19:30:00,268032.0
2021-12-27 20:00:00,263936.0
2021-12-27 20:30:00,264960.0
2021-12-27 21:00:00,263168.0
2021-12-27 21:30:00,270080.0
2021-12-27 22:00:00,264448.0
2021-12-27 22:30:00,281600.0
2021-12-27 23:00:00,289280.0
2021-12-27 23:30:00,365504.0
2021-12-28 00:00:00,386944.0
2021-12-28 00:30:00,394560.0
2021-12-28 01:00:00,404416.0
2021-12-28 01:30:00,401408.0
2021-12-28 02:00:00,398080.0
2021-12-28 02:30:00,412608.0
2021-12-28 03:00:00,412160.0
2021-12-28 03:30:00,405888.0
2021-12-28 04:00:00,413952.0
2021-12-28 04:30:00,410816.0
2021-12-28 05:00:00,406208.0
2021-12-28 05:30:00,409024.0
2021-12-28 06:00:00,407680.0
2021-12-28 06:30:00,402176.0
2021-12-28 07:00:00,399168.0
2021-12-28 07:30:00,403840.0
2021-12-28 08:00:00,401088.0
2021-12-28 08:30:00,400896.0
2021-12-28 09:00:00,397056.0
2021-12-28 09:30:00,401408.0
2021-12-28 10:00:00,398336.0
2021-12-28 10:30:00,389824.0
2021-12-28 11:00:00,391616.0
2021-12-28 11:30:00,365312.0
2021-12-28 12:00:00,352768.0
2021-12-28 12:30:00,351488.0
2021-12-28 13:00:00,350976.0
2021-12-28 13:30:00,315648.0
2021-12-28 14:00:00,300544.0
2021-12-28 14:30:00,280320.0
2021-12-28 15:00:00,278528.0
2021-12-28 15:30:00,275200.0
2021-12-28 16:00:00,278528.0
2021-12-28 16:30:00,267776.0
2021-12-28 17:00:00,268288.0
2021-12-28 17:30:00,268800.0
2021-12-28 18:00:00,261120.0
2021-12-28 18:30:00,257536.0
2021-12-28 19:00:00,258816.0
2021-12-28 19:30:00,264960.0
2021-12-28 20:00:00,260864.0
2021-12-28 20:30:00,258816.0
2021-12-28 21:00:00,256768.0
2021-12-28 21:30:00,256512.0
2021-12-28 22:00:00,260864.0
2021-12-28 22:30:00,274688.0
2021-12-28 23:00:00,285184.0
2021-12-28 23:30:00,355072.0
2021-12-29 00:00:00,368064.0
2021-12-29 00:30:00,383936.0
2021-12-29 01:00:00,387392.0
2021-12-29 01:30:00,394368.0
2021-12-29 02:00:00,394624.0
2021-12-29 02:30:00,393600.0
2021-12-29 03:00:00,394624.0
2021-12-29 03:30:00,398592.0
2021-12-29 04:00:00,403968.0
2021-12-29 04:30:00,401856.0
2021-12-29 05:00:00,405824.0
2021-12-29 05:30:00,403200.0
2021-12-29 06:00:00,399488.0
2021-12-29 06:30:00,401152.0
2021-12-29 07:00:00,389440.0
2021-12-29 07:30:00,391808.0
2021-12-29 08:00:00,394432.0
2021-12-29 08:30:00,398272.0
2021-12-29 09:00:00,399168.0
2021-12-29 09:30:00,398208.0
2021-12-29 10:00:00,399616.0
2021-12-29 10:30:00,392384.0
2021-12-29 11:00:00,391936.0
2021-12-29 11:30:00,369664.0
2021-12-29 12:00:00,352512.0
2021-12-29 12:30:00,352000.0
2021-12-29 13:00:00,352512.0
2021-12-29 13:30:00,322048.0
2021-12-29 14:00:00,304640.0
2021-12-29 14:30:00,284672.0
2021-12-29 15:00:00,283136.0
2021-12-29 15:30:00,283904.0
2021-12-29 16:00:00,285440.0
2021-12-29 16:30:00,273152.0
2021-12-29 17:00:00,272128.0
2021-12-29 17:30:00,275200.0
2021-12-29 18:00:00,273920.0
2021-12-29 18:30:00,270080.0
2021-12-29 19:00:00,275456.0
2021-12-29 19:30:00,268800.0
2021-12-29 20:00:00,272128.0
2021-12-29 20:30:00,269056.0
2021-12-29 21:00:00,268032.0
2021-12-29 21:30:00,273152.0
2021-12-29 22:00:00,271104.0
2021-12-29 22:30:00,286720.0
2021-12-29 23:00:00,299520.0
2021-12-29 23:30:00,368960.0
2021-12-30 00:00:00,387008.0
2021-12-30 00:30:00,399360.0
2021-12-30 01:00:00,404096.0
2021-12-30 01:30:00,403776.0
2021-12-30 02:00:00,401664.0
2021-12-30 02:30:00,404160.0
2021-12-30 03:00:00,409792.0
2021-12-30 03:30:00,409024.0
2021-12-30 04:00:00,401664.0
2021-12-30 04:30:00,403584.0
2021-12-30 05:00:00,407744.0
2021-12-30 05:30:00,409344.0
